id,candidato,criado em,texto,sentimento
48,Bolsonaro,Tue Aug 23 23:06:46 +0000 2022,@Mleitaonetto Mesmo Matheus você tomo algum alucinógeno para afirmar isso ou assistiu entrevista na TV Globinho ?… https://t.co/cawchgydRg,
49,Bolsonaro,Tue Aug 23 23:05:46 +0000 2022,"“Fique em casa, se puder”. 

Sério? 🙄

Hipocrisia do Caralho... #GloboLixo #BolsonaroNoJN #BolsonaroReeleitoEm2022… https://t.co/tiYcp6m0mF",
50,Bolsonaro,Tue Aug 23 23:03:18 +0000 2022,"Será que a #GloboLixo vai ter #OpenBar para o cachaceiro?
 A #RenataMentirosa vai perguntar para o #LulaLadrão onde… https://t.co/rUWfaiyZQF",
51,Bolsonaro,Tue Aug 23 23:03:02 +0000 2022,@IngridGuimaraes @realwbonner Chora não bebê kkkkkkk #BolsonaroNoJN,
52,Bolsonaro,Tue Aug 23 23:02:17 +0000 2022,"Os temas que ficaram de fora da entrevista de #BolsonaroNoJN poderiam render mais algumas horas de entrevista, aval… https://t.co/7nxA036WSz",
53,Bolsonaro,Tue Aug 23 23:02:11 +0000 2022,Importante nota das mulheres do @MST_Oficial a respeito das mentiras do #BolsonaroNoJN . https://t.co/MzMrVUxhHl,-1
54,Bolsonaro,Tue Aug 23 23:01:57 +0000 2022,"Entrevista do nosso presidente na tv globo. Video no YouTube 👇
https://t.co/XU6pNK2igT
Venha conhecer e fazer do me… https://t.co/UknFZskEBF",
55,Bolsonaro,Tue Aug 23 23:01:01 +0000 2022,"Será que a #GloboLixo vai ter #OpenBar para o #meliante?
 A #RenataMentirosa vai questionar o #LulaLadrão onde pode… https://t.co/eofV8NL2t9",
56,Bolsonaro,Tue Aug 23 22:59:30 +0000 2022,@augustodeAB Aprendemos muito ontem #BolsonaroNoJN https://t.co/GVo6SOgtQx,
57,Bolsonaro,Tue Aug 23 22:57:14 +0000 2022,"Associação Nacional das Vítimas da Covid contesta fala do genocida Bozonaro em telejornal
https://t.co/tyflKKOSSi

#BolsonaroNoJN",
58,Bolsonaro,Tue Aug 23 22:50:20 +0000 2022,"Bolsonaro no JN, MELHORES MOMENTOS #BolsonaroNoJN https://t.co/SmbsFKvfLU",
59,Bolsonaro,Tue Aug 23 22:50:15 +0000 2022,Qual sua nota pra esse jornaleco?🤓 #BolsonaroNoJN #BolsonaroNoFlow #BolsonaroNoPrimeiroTurno #Bolsonaro22 https://t.co/RtuSgQLdil,
60,Bolsonaro,Tue Aug 23 22:48:23 +0000 2022,Depois do fiasco dos jornalistas ativistas cumpadres do cachaceiro a sigla JN não pertence mais a redelixo!… https://t.co/65ZlgofqF6,
61,Bolsonaro,Tue Aug 23 22:47:13 +0000 2022,"Será que a #GloboLixo vai ter #OpenBar para o cachaceiro?
 A #RenataMentirosa vai perguntar para o #LulaLadrão onde… https://t.co/KVv6ZQJBYJ",
62,Bolsonaro,Tue Aug 23 22:46:16 +0000 2022,Procurei político passando vergonha e apareceu isso. Estranho? 😂 #BolsonaroNoJN @tvglobo https://t.co/yYqXSmK9C5,-1
63,Bolsonaro,Tue Aug 23 22:42:41 +0000 2022,"O povo  Amazonense sabe bem o que
se passou por lá,e o resultado provavelmente deve vir nas urnas,eu espero!!
#BolsonaroNoJN #JN #bonner",
64,Bolsonaro,Tue Aug 23 22:41:23 +0000 2022,"O cara fala como se não houvesse roubado um real do povo brasileiro! Coisa de psicopata mesmo, ele acredita de verd… https://t.co/8ITEv3ZAer",
65,Bolsonaro,Tue Aug 23 22:38:17 +0000 2022,Agora sim #BolsonaroNoJN #tchutchucaDoCentrao https://t.co/JUoMQa6tC0,
66,Bolsonaro,Tue Aug 23 22:32:40 +0000 2022,"FIQUE EM CASA ""SE PUDER""...
#BolsonaroNoJN #CapitaoNoJN #capitaodopovo 
#DesenrolaSP #SaoPauloPodeMais 
#Tarcisio10… https://t.co/d2gLG38TBD",
67,Bolsonaro,Tue Aug 23 22:32:07 +0000 2022,O  #dayafter dos bolsonaristas nas redes é patético.  Que tempos são esses em que um louco guia cegos?… https://t.co/Eqr5Cq0qK3,-1
68,Bolsonaro,Tue Aug 23 22:27:54 +0000 2022,"Marminino! Tome tento! Aqui no meu Nordeste tu não se cria não, visse?! #forabolsonaro #BolsonaroNoJN… https://t.co/OihldR5q5l",
69,Bolsonaro,Tue Aug 23 22:27:48 +0000 2022,"A GLOBO ELEGENDO BOLSONARO DE NOVO!!! 😂

Vídeo completo no link abaixo:

https://t.co/9xiRconb6L

#VoteBolsonaro22… https://t.co/n9sANmHns9",
70,Bolsonaro,Tue Aug 23 22:24:06 +0000 2022,"A verdade sem ser baixo quanto esse senhor, Wilian foi desrespeitoso, irônico é ofensivo com um CHEFE DE ESTADO!… https://t.co/w3smY7rdwJ",
71,Bolsonaro,Tue Aug 23 22:21:56 +0000 2022,Sem palavras só as imagens falam por si #BolsonaroNoJN https://t.co/l0ITKGlXQD,
72,Bolsonaro,Tue Aug 23 22:18:55 +0000 2022,Corre aqui @realwbonner #FiqueEmCasa #BolsonaroNoJN https://t.co/953vp0Z4wo,
73,Bolsonaro,Tue Aug 23 22:17:47 +0000 2022,"Bolsonaro no JN - Foi bem melhor do que você pensa https://t.co/ELUvlc2a1S via @YouTube 
#BolsonaroReeleitoEm2022… https://t.co/nt97HDVT3H",
74,Bolsonaro,Tue Aug 23 22:16:50 +0000 2022,"#NovaFotoDePerfil -Brasil acima de tudo, Deus acima de todos. 👍🏽
#BolsonaroReeleitoEm2022 #BolsonaroNoFlow… https://t.co/usJS1aza9I",
75,Bolsonaro,Tue Aug 23 22:10:20 +0000 2022,"Esses bolsominions vão votar no Bolsonaro porque não teve um amigo,pais,parentes que esteve internado na pandemia q… https://t.co/rQuje8YzWl",-1
76,Bolsonaro,Tue Aug 23 22:08:12 +0000 2022,@veramagalhaes Você é datilografa né #BolsonaroNoJN https://t.co/8MegWH1ZAH,
77,Bolsonaro,Tue Aug 23 22:07:06 +0000 2022,"@jairbolsonaro #BolsonaroNoJN 

Tchutchuca do Centrão  😎👇 https://t.co/XCWwJhHiaf",
78,Bolsonaro,Tue Aug 23 22:05:31 +0000 2022,"Olha rapaz, a entrevista do @jairbolsonaro me ensinou uma coisa. Você pode mentir o quanto quiser em uma entrevista… https://t.co/4qiqs1GyBe",
79,Bolsonaro,Tue Aug 23 22:02:56 +0000 2022,"@mfriasoficial Falta de berço! Se fosse com meu pai, teria a boca lavada com sabão! #RenataLavaABoca… https://t.co/ADCi5lvAjt",
80,Bolsonaro,Tue Aug 23 21:52:52 +0000 2022,"ORA ORA! 
23:59 FICA EM CASA, O CHORO É LIVRE! 
00:00 FICA EM CASA, SE PUDER...
#2022
 #JN #WilliamBonner… https://t.co/NXfgBbFFER",
81,Bolsonaro,Tue Aug 23 21:52:21 +0000 2022,"BOLSONARO NO JN, MELHORES MOMENTOS, VOCÊ NÃO PODE DORMIR SEM ESSA #66 https://t.co/0bmm5kAweX via @YouTube… https://t.co/mcZRAYH6LU",
82,Bolsonaro,Tue Aug 23 21:50:59 +0000 2022,"@fabiunascimento Pesquise sobre:
- Nicarágua (esquerda)
- Argentina (esquerda)
- Colômbia (esquerda)
- Dario Messer… https://t.co/mxhvroL2Ce",
83,Bolsonaro,Tue Aug 23 21:50:49 +0000 2022,"Bolsonaro no JN - Foi bem melhor do que você pensa!

Vídeo completo no link abaixo:

https://t.co/9xiRcoELYj… https://t.co/Js86vJMTz2",
84,Bolsonaro,Tue Aug 23 21:49:42 +0000 2022,"@FlavioBolsonaro Flavio, qual percentual do salário tem que te repassar pra trabalhar com vc ? Pessoal da lojinha d… https://t.co/ZZYGdLa8ml",
85,Bolsonaro,Tue Aug 23 21:46:35 +0000 2022,"🚨URGENTE🚨
Como realmente foi a entrevista com @jairbolsonaro no JN.
Muitos vão dizer que é Fake News, mas todos os… https://t.co/3vmP9bJy48",
86,Bolsonaro,Tue Aug 23 21:40:48 +0000 2022,"@jairbolsonaro #BolsonaroNoJN 

O MANDRIÃO MENTIROSO https://t.co/HiqnaKFblw",
87,Bolsonaro,Tue Aug 23 21:39:30 +0000 2022,"Sem mais.
#BolsonaroNoJN https://t.co/zHfC4kIwZv",
88,Bolsonaro,Tue Aug 23 21:36:05 +0000 2022,"@MarceloFreixo @jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN 
#PedroDeOliveira1411 RS… https://t.co/wuzkXqow2P",
89,Bolsonaro,Tue Aug 23 21:35:10 +0000 2022,"@randolfeap @jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN 
#PedroDeOliveira1411 RS… https://t.co/KTxg4g85xi",
90,Bolsonaro,Tue Aug 23 21:34:38 +0000 2022,"#BolsonaroNoJN 
Mentiu mentiu mentiu 
Mentiu mentiu mentiu
#BolsonaroMentiroso https://t.co/oJp1JlLtKY",
91,Bolsonaro,Tue Aug 23 21:34:30 +0000 2022,"@LulaOficial @jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN 
#PedroDeOliveira1411 RS… https://t.co/OChGKtWj5i",
92,Bolsonaro,Tue Aug 23 21:33:52 +0000 2022,"@LeilaneNeubarth @jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN 
#PedroDeOliveira1411 RS… https://t.co/Qu40zNFKTd",1
93,Bolsonaro,Tue Aug 23 21:33:34 +0000 2022,"@LulaOficial @crisvector @jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN… https://t.co/urUvEI2jWn",
94,Bolsonaro,Tue Aug 23 21:33:28 +0000 2022,"@jairbolsonaro dando aquela cortada na chuchuca da Globo!
#JornalNacional #BolsonaroNoJN https://t.co/q0PWAak9hg",
95,Bolsonaro,Tue Aug 23 21:33:02 +0000 2022,"@FreireKarolayne @jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN 
#PedroDeOliveira1411 RS… https://t.co/Hswa7rY6vY",
96,Bolsonaro,Tue Aug 23 21:31:58 +0000 2022,"@jairmbolsona22 @Anitta @jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN… https://t.co/sVL41giJFs",
97,Bolsonaro,Tue Aug 23 21:31:34 +0000 2022,"@JanainaDoBrasil @jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN 
#PedroDeOliveira1411 RS… https://t.co/Y1Q8lSJaZi",
98,Bolsonaro,Tue Aug 23 21:31:07 +0000 2022,Os petistas não sabem nem oque falam😂🇧🇷 #BolsonaroNoJN #BolsonaroReeleitoEm2022 #GloboLixoDerretendo https://t.co/V1WCx5BH5h,
99,Bolsonaro,Tue Aug 23 21:26:36 +0000 2022,#BolsonaroNoJN A Luta do Ano 😂😂😂 https://t.co/oxJECA99t3,
100,Bolsonaro,Tue Aug 23 21:26:36 +0000 2022,"@AstroPontes222 @soubelemlz Sem dúvida. Não obstante o ambiente rústico, desrespeitoso p c o chefe da nação, reflet… https://t.co/H0I9NA04Vi",
101,Bolsonaro,Tue Aug 23 21:22:20 +0000 2022,"@jairbolsonaro #BolsonaroNoJN 

Tchutchuca do Centrão  😎👇 https://t.co/efQMn4JFZJ",-1
102,Bolsonaro,Tue Aug 23 21:22:14 +0000 2022,"mano...kkkkk..kkkk só assim pra assistir esse massacre no JN.
#BolsonaroNoJN 
#BolsonaroReeleitoEm2022… https://t.co/Z4gh7bHbPn",
103,Bolsonaro,Tue Aug 23 21:21:53 +0000 2022,"#BolsonaroNoJN
O que acharam? 👇🏻
https://t.co/uOHveO8r63",
104,Bolsonaro,Tue Aug 23 21:19:38 +0000 2022,"OS PINGOS NOS IS - 23/08/2022 https://t.co/74d0gMOTXS via @YouTube 
#BolsonaroNoJN 
#BolsonaroReeleitoEm2022… https://t.co/PO4cFRZDtq",
105,Bolsonaro,Tue Aug 23 21:19:31 +0000 2022,"@jairbolsonaro surrando a galera do @jornalnacional 🤣🤣🤣
#BolsonaroNoJN 
#PedroDeOliveira1411 RS
#PauloOpusDai20222… https://t.co/mo84QfX0D2",
106,Bolsonaro,Tue Aug 23 21:19:13 +0000 2022,"#BolsonaroNoJN ,o que vc achou? Veja este vídeo e comente 
https://t.co/4DZ41Y7x0B",
107,Bolsonaro,Tue Aug 23 21:15:20 +0000 2022,"@peterjordan100 Teve gente sendo preso, comerciantes, ambulantes, absurdo! Agora a globo vem com mentira mudando o… https://t.co/hvKrvmpLFY",
108,Bolsonaro,Tue Aug 23 21:14:19 +0000 2022,"E ai, o que será que a turma da esquerda tá achando?

#BolsonaroNoJN #DireitaForte #Bolsonaro https://t.co/zDjGvbyl4k",
109,Bolsonaro,Tue Aug 23 21:14:10 +0000 2022,"vídeo novo no canal!

BOLSONARO x JORNAL NACIONAL | A LUTA DO ANO
https://t.co/auuFqM1gUx

#BolsonaroNoJN… https://t.co/LTCyXy0wA9",
110,Bolsonaro,Tue Aug 23 21:13:55 +0000 2022,@jairbolsonaro Isso não é nada mais nada menos que falta de caráter. #BolsonaroNoJN,
111,Bolsonaro,Tue Aug 23 21:13:39 +0000 2022,"A web sempre tem razão 😉

#BolsonaroNoJN https://t.co/K3TxA0IMDF",
112,Bolsonaro,Tue Aug 23 21:12:57 +0000 2022,"Meu Presidente 🇧🇷🇧🇷🇧🇷 

#BolsonaroReeleitoEm2022 
#BolsonaroNoJN 
#Bolsonaro22 
#BolsonaroNoPrimeiroTurno https://t.co/ke7hSTE2lU",
113,Bolsonaro,Tue Aug 23 21:12:26 +0000 2022,"kkkkkkkkkkkkkkkkkkkk
https://t.co/ZzbfMYfSEH #BolsonaroNoJN 
Jornal Nacional",
114,Bolsonaro,Tue Aug 23 21:10:00 +0000 2022,"Bolsonaro no JN, Globo bate recorde e tem maior ibope de 2022 https://t.co/joNCqolZ2z #BolsonaroNoJN https://t.co/1RBfMrbXzS",
115,Bolsonaro,Tue Aug 23 21:07:10 +0000 2022,"Na boa , Bolsonaro simplesmente fez o autêntico ""PAPEL DE BOZO"" ao participar dessa entrevista , putz grilos!!! Vai… https://t.co/10kTGk1bX6",
116,Bolsonaro,Tue Aug 23 21:05:38 +0000 2022,Campeão do BBB22 Arthur Aguiar diz que irá votar em Bolsonaro🙏🙏🥰🥰🥰 #Bolsonaro22 #BolsonaroNoJN https://t.co/FrdxgzN1iQ,
117,Bolsonaro,Tue Aug 23 21:04:58 +0000 2022,"@AnaPaulaVolei @MarcPvh #GloboLixo 
#BolsonaroReeleitoEm2022 
#BolsonaroNoJN 
#Bolsonaro2022 
#BolsonaroNaGloboLixo… https://t.co/NlvsFjutTn",
118,Bolsonaro,Tue Aug 23 21:01:43 +0000 2022,Na minha época não se chamava centrão #ForaBolsonaro #JN #WilliamBonner #BolsonaroNoJN https://t.co/Ip6rM5xl2C,
119,Bolsonaro,Tue Aug 23 21:00:56 +0000 2022,O candidato do PL à Presidência da República foi o primeiro entrevistado por William Bonner e Renata Vasconcellos… https://t.co/5MuKsQ7DrZ,
120,Bolsonaro,Tue Aug 23 21:00:36 +0000 2022,"ATENÇÃO, ATENÇÃO!!!  ⚠️ Interrompemos a nossa  programação normal para um furo de reportagem!
#BolsonaroNoJN 👊🏼😎🇧🇷… https://t.co/K436Ig4ZGW",
121,Bolsonaro,Tue Aug 23 21:00:26 +0000 2022,"Leia a análise da sabatina de Bolsonaro no #JornalNacional, feita por Rafael Cortez, cientista político e sócio da… https://t.co/nyBAoDFU7q",
122,Bolsonaro,Tue Aug 23 21:00:00 +0000 2022,Participação do presidente #JairBolsonaro no #JornalNacional faz #Globo conquistar a maior audiência da televisão b… https://t.co/w1S4QXcfoo,1
123,Bolsonaro,Tue Aug 23 20:56:29 +0000 2022,"Durante 40 minutos, o presidente da República e candidato à reeleição apresentou um Brasil inexistente, negou corru… https://t.co/g6TjF7KSIF",
124,Bolsonaro,Tue Aug 23 20:55:49 +0000 2022,"@jairbolsonaro tinha um recado para as mães leoas de Santa Catarina, mas @realwbonner interrompeu a fala 😏… https://t.co/Kiwrxrc1nv",
125,Bolsonaro,Tue Aug 23 20:54:04 +0000 2022,"Canal Bastidores do Brasil: Bolsonaro na Globo/ Depois da entrevista. 
#BolsonaroReeleitoEm2022 🇧🇷
#BolsonaroNoJN
https://t.co/f1TtYhzTcO",1
126,Bolsonaro,Tue Aug 23 20:53:29 +0000 2022,"William Bonner e Renata Vasconcelos, meros funcionários de uma emissora, não tiveram educação de berço pelo jeito…… https://t.co/WZ2f9m7G8V",
127,Bolsonaro,Tue Aug 23 20:52:35 +0000 2022,@bernardokuster2 @AndreJanonesAdv @LulaOficial #BolsonaroNoJN #globolixo #ratobot #BolsonaroReeleitoEm2022… https://t.co/YuorQgxv2Y,
128,Bolsonaro,Tue Aug 23 20:52:04 +0000 2022,"Nunca vi um candidato a presidência passar vergonha igual o bolsonaro passouKKKKKKK mano o cara é uma mula 
#BolsonaroNoJN #ForaBolsonaro",
129,Bolsonaro,Tue Aug 23 20:50:14 +0000 2022,"#BolsonaroNoJN nem vi o debate 
Algm resume aí pra mim https://t.co/4jPr80KFsk",
130,Bolsonaro,Tue Aug 23 20:47:26 +0000 2022,"NICARÁGUA, ARGENTINA, COLÔMBIA, DÁRIO MESSER.

Vídeo completo no link abaixo:
https://t.co/zZjyP0KcRy… https://t.co/cZpBI7YlQr",
131,Bolsonaro,Tue Aug 23 20:47:18 +0000 2022,"Sério cômico se não fosse trágico. Parte 2
#BolsonaroNoJN #BolsonaroMentiroso #BolsonaroNaCadeia #BolsonaroMente… https://t.co/ZctKpXiFjH",
132,Bolsonaro,Tue Aug 23 20:46:41 +0000 2022,Eu tenho um patrão bolsonarista. Tu vê que estrago do JN foi grande quando ele passou o dia todo recebendo vídeo do… https://t.co/Nx70i5sy6D,
133,Bolsonaro,Tue Aug 23 20:45:57 +0000 2022,"Bolsonaro no JN só demonstrou o que nós já sabiamos:

ele é um mentiroso compulsório, completamente sem escrúpulos… https://t.co/yf8fJphdW6",
